ID,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM,IDADE
2931,7,5,5,0,NAO,ASSINANTE,M,2000-01-01,DE 14SM ATE 25SM,21.95
2011,0,7,4,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
3199,7,59,152,327,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
667,4,1,0,13,SIM,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
1876,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1668,0,3,5,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
2949,4,38,135,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
876,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
3742,0,21,7,16,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
2187,15,41,151,2,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3598,6,5,8,7,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
919,30,34,130,210,SIM,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
556,0,56,520,18,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
3245,3,3,0,9,SIM,ASSINANTE,M,2000-01-01,ACIMA DE 25SM,21.95
2019,12,44,100,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
2438,0,5,6,4,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1790,5,3,1,7,SIM,ASSINANTE,F,1981-07-31,ACIMA DE 25SM,40.38
3296,6,47,133,10,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
112,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
