ID,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP
321586,6,11,9,0,NAO
228204,0,3,3,0,NAO
144984,63,41,15,6,NAO
59860,48,1,0,0,NAO
162115,0,7,7,0,NAO
337866,1,15,5,20,NAO
243933,0,13,21,0,NAO
280416,0,1,3,0,NAO
100926,0,3,3,0,NAO
53857,2,4,0,11,SIM
228059,0,5,1,0,NAO
324537,0,2,4,0,NAO
367758,3,17,12,0,NAO
61476,0,1,0,0,NAO
247359,78,36,10,0,NAO
55672,0,25,43,0,NAO
111246,0,6,5,0,NAO
122220,0,60,522,5,NAO
46852,1,5,4,0,NAO
38119,0,4,4,0,NAO
192836,2,23,40,96,SIM
219144,9,2,0,16,SIM
266379,2,8,6,0,NAO
329645,18,20,3,34,SIM
184795,1,12,14,0,NAO
215965,21,60,56,607,SIM
74704,44,48,0,661,SIM
82373,0,1,0,0,NAO
250785,2,37,64,2,NAO
292002,1,3,6,0,NAO
249356,24,5,0,10,SIM
207926,0,2,4,0,NAO
28365,4,10,0,45,SIM
44211,26,58,0,272,SIM
268247,0,2,2,0,NAO
252191,0,2,0,5,SIM
309812,6,3,0,8,SIM
127520,1,6,0,11,SIM
29393,0,3,3,0,NAO
202069,17,39,22,168,NAO
291170,0,1,1,0,NAO
265903,0,1,1,0,NAO
223503,0,2,3,0,NAO
130741,3,15,22,2,NAO
367502,0,1,1,0,NAO
96938,5,21,20,0,NAO
26951,2,5,7,0,NAO
102514,4,3,9,0,NAO
88081,0,17,24,0,NAO
289899,0,2,2,0,NAO
344843,0,1,0,1,NAO
132988,0,8,8,0,NAO
303623,0,2,3,0,NAO
212856,6,14,0,65,SIM
338604,0,1,1,0,NAO
177768,0,2,1,0,NAO
29950,0,2,2,0,NAO
71755,10,7,0,30,SIM
296787,0,1,1,0,NAO
75235,0,22,17,17,NAO
118062,0,6,7,0,NAO
174838,4,18,0,82,SIM
311563,6,21,8,60,SIM
337290,0,2,2,0,NAO
179398,0,1,1,0,NAO
182985,0,9,5,0,NAO
253464,2,6,8,0,NAO
317331,0,3,2,0,NAO
59698,0,12,13,0,NAO
106578,0,22,14,83,SIM
119239,1,2,6,0,NAO
151062,19,23,8,12,SIM
167154,0,3,7,0,NAO
341086,0,13,16,0,NAO
174480,0,2,2,0,NAO
306089,0,4,6,0,NAO
145306,0,49,6,282,SIM
338336,48,47,0,69,SIM
100137,8,8,16,3,NAO
240379,0,5,6,0,NAO
117649,0,7,7,0,NAO
25366,0,2,0,0,NAO
179229,0,3,1,0,NAO
264374,0,21,23,0,NAO
63535,0,6,2,0,NAO
10921,0,3,0,6,NAO
8546,0,10,10,7,NAO
230294,27,32,0,146,SIM
218146,0,2,2,0,NAO
130453,0,19,2,1,NAO
232617,0,8,7,0,NAO
213188,2,4,0,11,SIM
248285,0,8,1,10,NAO
19220,0,12,6,0,NAO
142250,0,1,0,0,NAO
21913,0,3,4,0,NAO
321236,16,15,2,39,SIM
126431,0,8,11,0,NAO
154587,2,17,3,1,NAO
283475,0,1,1,0,NAO
34895,26,37,0,211,SIM
231662,0,7,3,9,SIM
47522,0,8,5,4,SIM
187255,0,1,0,0,NAO
146440,0,3,3,0,NAO
173618,0,19,6,27,NAO
151181,0,5,3,1,NAO
324345,0,1,1,0,NAO
9946,90,32,16,68,SIM
64130,0,6,3,0,NAO
203516,0,1,1,0,NAO
84171,0,15,22,0,NAO
283958,1,5,3,0,NAO
152069,0,8,8,7,NAO
112794,0,2,2,0,NAO
215308,0,18,3,0,NAO
134135,1,2,1,0,NAO
143723,0,60,540,569,NAO
255667,0,6,9,0,NAO
233526,0,3,0,1,NAO
357371,0,10,13,0,NAO
353821,0,1,0,0,NAO
70748,0,5,1,3,NAO
168831,0,50,75,134,NAO
230383,2,13,16,0,NAO
234252,3,15,19,0,NAO
306992,105,26,0,117,SIM
153755,0,2,1,1,NAO
307205,4,7,0,15,SIM
88708,2,2,4,0,NAO
91611,0,1,1,0,NAO
146286,0,10,3,14,NAO
297717,2,4,3,0,NAO
11234,0,6,5,0,NAO
97602,0,1,0,0,NAO
242571,0,4,5,0,NAO
226231,0,1,1,1,NAO
287631,0,1,1,0,NAO
50260,0,6,4,0,NAO
220277,0,1,1,0,NAO
208826,0,12,10,0,NAO
348406,2,54,186,727,SIM
74472,0,9,6,0,NAO
151348,0,10,15,0,NAO
48076,7,14,0,77,SIM
186609,4,29,15,68,NAO
190134,0,7,6,0,NAO
345057,0,4,3,0,NAO
148278,0,1,1,0,NAO
257502,72,39,49,3,NAO
44916,4,16,16,0,NAO
250039,0,1,1,0,NAO
296876,0,4,4,0,NAO
88400,0,2,2,0,NAO
12948,0,5,4,0,NAO
115350,0,1,0,0,NAO
177210,0,7,2,8,NAO
66748,0,5,3,0,NAO
30798,5,16,12,20,SIM
138092,0,3,3,0,NAO
100645,0,21,17,62,SIM
322850,0,1,0,0,NAO
198624,0,1,1,0,NAO
358730,12,3,8,0,NAO
135874,0,1,0,1,NAO
188501,26,26,7,108,SIM
123406,1,7,0,10,SIM
136824,94,31,15,1,NAO
209695,0,3,3,2,NAO
138058,1,2,1,0,NAO
308498,2,19,31,0,NAO
324326,0,1,1,0,NAO
197264,2,10,0,2,NAO
240243,21,8,3,31,SIM
345419,0,10,4,0,NAO
168369,0,33,104,0,NAO
368332,12,25,16,27,NAO
114623,0,1,2,0,NAO
73401,164,57,27,527,NAO
239958,0,3,3,0,NAO
328020,0,10,11,0,NAO
227279,0,8,6,0,NAO
319107,1,7,9,6,NAO
271581,1,15,4,15,NAO
299363,0,6,2,0,NAO
36423,1,2,1,2,SIM
143571,0,1,2,0,NAO
145594,0,2,2,0,NAO
294360,1,18,0,52,SIM
72587,0,3,3,0,NAO
64207,0,1,1,0,NAO
365448,141,36,7,188,SIM
107906,0,15,5,0,NAO
146075,0,1,0,0,NAO
336140,1,6,8,0,NAO
324180,82,39,18,87,SIM
277380,11,15,0,70,SIM
1321,0,2,5,0,NAO
285344,0,2,1,0,NAO
30228,0,3,0,4,SIM
308513,0,1,1,0,NAO
179728,0,4,4,2,NAO
177786,2,4,0,2,NAO
42868,0,2,1,0,NAO
145427,0,28,5,0,NAO
50460,6,47,0,188,SIM
286500,0,2,0,4,SIM
309623,24,46,13,95,NAO
302321,43,50,0,566,SIM
40483,0,3,6,0,NAO
87793,0,2,0,2,SIM
179699,0,2,2,0,NAO
10434,0,53,245,22,SIM
30081,0,2,3,0,NAO
96227,0,3,2,0,NAO
55877,55,39,60,0,NAO
338996,0,1,1,0,NAO
353533,1,1,0,0,NAO
7061,0,4,2,0,NAO
247445,0,2,2,0,NAO
