ID,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM
1261,ASSINANTE,M,01/01/2000 00:00:00,
271,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
1566,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
1111,ASSINANTE,F,01/01/2000 00:00:00,
3253,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
619,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1579,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2947,ASSINANTE,M,01/01/2000 00:00:00,DE 14SM ATE 25SM
636,ASSINANTE,M,01/01/2000 00:00:00,
159,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
912,ASSINANTE,M,01/01/2000 00:00:00,
1195,ASSINANTE,M,01/01/2000 00:00:00,DE 14SM ATE 25SM
3451,ASSINANTE,M,01/01/2000 00:00:00,
3146,ASSINANTE,F,01/01/2000 00:00:00,
2688,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
933,ASSINANTE,M,10/06/1990 00:00:00,DE 3SM ATE 4SM
2990,ASSINANTE,M,01/01/2000 00:00:00,
1506,ASSINANTE,F,01/01/2000 00:00:00,
34,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
634,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2722,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
3071,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
2499,ASSINANTE,F,12/05/1982 00:00:00,
2536,ASSINANTE,F,01/01/2000 00:00:00,
250,ASSINANTE,M,01/01/2000 00:00:00,
417,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
1327,ASSINANTE,M,01/01/2000 00:00:00,
980,ASSINANTE,M,01/01/2000 00:00:00,
3182,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
2478,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
1376,ASSINANTE,M,01/01/2000 00:00:00,
346,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
