PERFIL,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,PES_GENERO,VISITAS_CAPA,USOU_APP,IDADE,ATR_PF_GEO_RENDA_FAM
False,16,15,2,True,39,True,43.4,5
False,0,1,1,True,0,False,37.43,3
False,0,6,3,False,0,False,54.96,4
False,0,1,1,True,0,False,49.56,3
False,0,15,22,True,0,False,42.58,3
False,0,2,2,False,0,False,81.23,4
False,1,2,1,False,0,False,38.55,4
False,0,1,0,False,0,False,42.15,3
False,0,5,1,False,3,False,33.78,3
False,2,13,16,True,0,False,36.23,4
False,2,2,4,True,0,False,38.42,3
False,0,1,1,True,0,False,63.89,3
False,72,39,49,False,3,False,42.56,3
False,0,1,1,True,0,False,34.52,3
False,0,5,4,True,0,False,39.29,4
False,0,3,3,False,0,False,37.32,4
False,0,21,17,False,62,True,66.15,3
False,12,3,8,True,0,False,69.44,4
False,1,7,0,False,10,True,39.09,6
False,94,31,15,False,1,False,33.95,3
False,0,33,104,True,0,False,27.36,4
False,12,25,16,False,27,False,66.82,3
False,0,3,3,True,0,False,27.73,3
False,1,15,4,False,15,False,56.19,4
False,141,36,7,True,188,True,33.4,3
False,0,3,0,False,4,True,45.77,3
False,24,46,13,False,95,False,55.67,3
False,0,2,2,False,0,False,27.1,3
False,0,3,2,True,0,False,53.93,3
False,22,6,0,True,43,True,61.46,3
False,1,2,8,True,0,False,56.54,4
False,1,2,0,False,3,True,34.65,2
False,0,1,0,True,0,False,36.34,4
False,22,35,0,False,90,True,46.87,5
False,2,8,16,True,8,False,38.27,4
False,42,20,34,True,22,False,33.71,3
False,0,1,1,True,0,False,42.51,3
False,11,29,0,False,70,True,29.25,4
False,0,8,3,True,7,False,42.48,4
False,0,2,3,True,0,False,70.14,4
False,33,60,265,False,320,True,43.59,3
False,3,5,9,False,0,False,41.0,6
False,52,31,17,True,5,False,40.9,3
False,1,14,5,False,19,False,38.66,3
False,4,53,183,True,182,True,33.68,3
False,2,1,1,False,0,False,34.58,3
False,0,2,2,True,0,False,62.45,3
False,24,12,6,False,0,False,45.77,3
False,0,1,1,True,0,False,30.62,3
False,4,46,0,False,359,True,41.06,3
False,10,41,14,False,62,True,57.42,3
False,0,46,152,False,18,True,43.76,3
False,94,36,0,True,184,True,80.55,3
False,0,2,2,True,0,False,36.53,3
